Index(20ms),Raw,DC Level,AC Level,AC/DC ratio(%),peaks
207.000000,39260.000000,39328.555556,-68.555556,-0.174315,
208.000000,39247.000000,39328.555556,-81.555556,-0.207370,
209.000000,39282.000000,39328.555556,-46.555556,-0.118376,
210.000000,39281.000000,39328.555556,-47.555556,-0.120919,
211.000000,39303.000000,39328.555556,-25.555556,-0.064980,
212.000000,39346.000000,39328.555556,17.444444,0.044356,
213.000000,39359.000000,39328.555556,30.444444,0.077411,
214.000000,39418.000000,39328.555556,89.444444,0.227429,
215.000000,39452.000000,39328.555556,123.444444,0.313880,
216.000000,39465.000000,39328.555556,136.444444,0.346935,
217.000000,39503.000000,39328.555556,174.444444,0.443557,
218.000000,39517.000000,39328.555556,188.444444,0.479154,
219.000000,39540.000000,39328.555556,211.444444,0.537636,402.000000,local max, 7
220.000000,39530.000000,39328.555556,201.444444,0.512209,
221.000000,39492.000000,39328.555556,163.444444,0.415587,
222.000000,39422.000000,39328.555556,93.444444,0.237599,
223.000000,39376.000000,39328.555556,47.444444,0.120636,
224.000000,39314.000000,39328.555556,-14.555556,-0.037010,
225.000000,39310.000000,39529.233333,-219.233333,-0.554611,230.000000,local min,8
226.000000,39316.000000,39529.233333,-213.233333,-0.539432,
227.000000,39337.000000,39529.233333,-192.233333,-0.486307,
228.000000,39358.000000,39529.233333,-171.233333,-0.433182,
229.000000,39418.000000,39529.233333,-111.233333,-0.281395,
230.000000,39468.000000,39529.233333,-61.233333,-0.154906,
231.000000,39496.000000,39529.233333,-33.233333,-0.084073,
232.000000,39522.000000,39529.233333,-7.233333,-0.018299,
233.000000,39536.000000,39529.233333,6.766667,0.017118,
234.000000,39526.000000,39529.233333,-3.233333,-0.008180,
235.000000,39529.000000,39529.233333,-0.233333,-0.000590,
236.000000,39533.000000,39529.233333,3.766667,0.009529,
237.000000,39555.000000,39529.233333,25.766667,0.065184,
238.000000,39528.000000,39529.233333,-1.233333,-0.003120,
239.000000,39562.000000,39529.233333,32.766667,0.082892,
240.000000,39574.000000,39529.233333,44.766667,0.113250,
241.000000,39580.000000,39529.233333,50.766667,0.128428,
242.000000,39629.000000,39529.233333,99.766667,0.252387,
243.000000,39657.000000,39529.233333,127.766667,0.323221,
244.000000,39663.000000,39529.233333,133.766667,0.338399,
245.000000,39687.000000,39529.233333,157.766667,0.399114,
246.000000,39711.000000,39529.233333,181.766667,0.459828,
247.000000,39739.000000,39529.233333,209.766667,0.530662,429.000000,local max, 8
248.000000,39699.000000,39529.233333,169.766667,0.429471,
249.000000,39643.000000,39529.233333,113.766667,0.287804,
250.000000,39565.000000,39529.233333,35.766667,0.090482,
251.000000,39462.000000,39529.233333,-67.233333,-0.170085,
252.000000,39449.000000,39529.233333,-80.233333,-0.202972,
253.000000,39404.000000,39529.233333,-125.233333,-0.316812,
254.000000,39421.000000,39529.233333,-108.233333,-0.273806,
255.000000,39399.000000,39561.538462,-162.538462,-0.410850,340.000000,local min,9
256.000000,39448.000000,39561.538462,-113.538462,-0.286992,
257.000000,39465.000000,39561.538462,-96.538462,-0.244021,
258.000000,39485.000000,39561.538462,-76.538462,-0.193467,
259.000000,39527.000000,39561.538462,-34.538462,-0.087303,
260.000000,39538.000000,39561.538462,-23.538462,-0.059498,
261.000000,39567.000000,39561.538462,5.461538,0.013805,
262.000000,39574.000000,39561.538462,12.461538,0.031499,
263.000000,39569.000000,39561.538462,7.461538,0.018861,
264.000000,39559.000000,39561.538462,-2.538462,-0.006416,
265.000000,39571.000000,39561.538462,9.461538,0.023916,
266.000000,39569.000000,39561.538462,7.461538,0.018861,
267.000000,39598.000000,39561.538462,36.461538,0.092164,
268.000000,39576.000000,39561.538462,14.461538,0.036555,
269.000000,39612.000000,39561.538462,50.461538,0.127552,
270.000000,39636.000000,39561.538462,74.461538,0.188217,
271.000000,39647.000000,39561.538462,85.461538,0.216022,
272.000000,39666.000000,39561.538462,104.461538,0.264048,
273.000000,39679.000000,39561.538462,117.461538,0.296908,
274.000000,39724.000000,39561.538462,162.461538,0.410655,325.000000,local max, 9
275.000000,39681.000000,39561.538462,119.461538,0.301964,
276.000000,39651.000000,39561.538462,89.461538,0.226133,
277.000000,39568.000000,39561.538462,6.461538,0.016333,
278.000000,39475.000000,39561.538462,-86.538462,-0.218744,
279.000000,39422.000000,39561.538462,-139.538462,-0.352712,
280.000000,39394.000000,39561.538462,-167.538462,-0.423488,
281.000000,39389.000000,39544.120000,-155.120000,-0.392271,335.000000,local min,10
282.000000,39405.000000,39544.120000,-139.120000,-0.351810,
283.000000,39418.000000,39544.120000,-126.120000,-0.318935,
284.000000,39429.000000,39544.120000,-115.120000,-0.291118,
285.000000,39471.000000,39544.120000,-73.120000,-0.184907,
286.000000,39509.000000,39544.120000,-35.120000,-0.088812,
287.000000,39528.000000,39544.120000,-16.120000,-0.040765,
288.000000,39519.000000,39544.120000,-25.120000,-0.063524,
289.000000,39534.000000,39544.120000,-10.120000,-0.025592,
290.000000,39549.000000,39544.120000,4.880000,0.012341,
291.000000,39533.000000,39544.120000,-11.120000,-0.028120,
292.000000,39547.000000,39544.120000,2.880000,0.007283,
293.000000,39554.000000,39544.120000,9.880000,0.024985,
294.000000,39555.000000,39544.120000,10.880000,0.027514,
295.000000,39572.000000,39544.120000,27.880000,0.070504,
296.000000,39573.000000,39544.120000,28.880000,0.073032,
297.000000,39586.000000,39544.120000,41.880000,0.105907,
298.000000,39619.000000,39544.120000,74.880000,0.189358,
299.000000,39660.000000,39544.120000,115.880000,0.293040,
300.000000,39657.000000,39544.120000,112.880000,0.285453,
301.000000,39693.000000,39544.120000,148.880000,0.376491,304.000000,local max, 10
302.000000,39669.000000,39544.120000,124.880000,0.315799,
303.000000,39628.000000,39544.120000,83.880000,0.212118,
304.000000,39542.000000,39544.120000,-2.120000,-0.005361,
305.000000,39464.000000,39544.120000,-80.120000,-0.202609,
306.000000,39439.000000,39619.037037,-180.037037,-0.454421,254.000000,local min,11
307.000000,39447.000000,39619.037037,-172.037037,-0.434228,
308.000000,39448.000000,39619.037037,-171.037037,-0.431704,
309.000000,39445.000000,39619.037037,-174.037037,-0.439276,
310.000000,39462.000000,39619.037037,-157.037037,-0.396368,
311.000000,39518.000000,39619.037037,-101.037037,-0.255021,
312.000000,39545.000000,39619.037037,-74.037037,-0.186872,
313.000000,39555.000000,39619.037037,-64.037037,-0.161632,
314.000000,39579.000000,39619.037037,-40.037037,-0.101055,
315.000000,39598.000000,39619.037037,-21.037037,-0.053098,
316.000000,39602.000000,39619.037037,-17.037037,-0.043002,
317.000000,39601.000000,39619.037037,-18.037037,-0.045526,
318.000000,39597.000000,39619.037037,-22.037037,-0.055622,
319.000000,39620.000000,39619.037037,0.962963,0.002431,
320.000000,39641.000000,39619.037037,21.962963,0.055435,
321.000000,39650.000000,39619.037037,30.962963,0.078152,
322.000000,39676.000000,39619.037037,56.962963,0.143777,
323.000000,39692.000000,39619.037037,72.962963,0.184161,
324.000000,39712.000000,39619.037037,92.962963,0.234642,
325.000000,39736.000000,39619.037037,116.962963,0.295219,
326.000000,39754.000000,39619.037037,134.962963,0.340652,
327.000000,39786.000000,39619.037037,166.962963,0.421421,347.000000,local max, 11
328.000000,39786.000000,39619.037037,166.962963,0.421421,
329.000000,39780.000000,39619.037037,160.962963,0.406277,
330.000000,39745.000000,39619.037037,125.962963,0.317935,
331.000000,39668.000000,39619.037037,48.962963,0.123584,
332.000000,39632.000000,39619.037037,12.962963,0.032719,
333.000000,39611.000000,39821.440000,-210.440000,-0.528459,175.000000,local min,12
334.000000,39639.000000,39821.440000,-182.440000,-0.458145,
335.000000,39660.000000,39821.440000,-161.440000,-0.405410,
336.000000,39663.000000,39821.440000,-158.440000,-0.397876,
337.000000,39689.000000,39821.440000,-132.440000,-0.332585,
338.000000,39724.000000,39821.440000,-97.440000,-0.244692,
339.000000,39731.000000,39821.440000,-90.440000,-0.227114,
340.000000,39784.000000,39821.440000,-37.440000,-0.094020,
341.000000,39800.000000,39821.440000,-21.440000,-0.053840,
342.000000,39787.000000,39821.440000,-34.440000,-0.086486,
343.000000,39814.000000,39821.440000,-7.440000,-0.018683,
344.000000,39803.000000,39821.440000,-18.440000,-0.046307,
345.000000,39826.000000,39821.440000,4.560000,0.011451,
346.000000,39836.000000,39821.440000,14.560000,0.036563,
347.000000,39841.000000,39821.440000,19.560000,0.049119,
348.000000,39864.000000,39821.440000,42.560000,0.106877,
349.000000,39891.000000,39821.440000,69.560000,0.174680,
350.000000,39894.000000,39821.440000,72.560000,0.182213,
351.000000,39932.000000,39821.440000,110.560000,0.277639,
352.000000,39969.000000,39821.440000,147.560000,0.370554,
353.000000,39973.000000,39821.440000,151.560000,0.380599,
354.000000,39981.000000,39821.440000,159.560000,0.400689,370.000000,local max, 12
355.000000,39980.000000,39821.440000,158.560000,0.398177,
356.000000,39949.000000,39821.440000,127.560000,0.320330,
357.000000,39895.000000,39821.440000,73.560000,0.184725,
358.000000,39856.000000,40003.285714,-147.285714,-0.368184,125.000000,local min,13
359.000000,39857.000000,40003.285714,-146.285714,-0.365684,
360.000000,39868.000000,40003.285714,-135.285714,-0.338187,
361.000000,39875.000000,40003.285714,-128.285714,-0.320688,
362.000000,39867.000000,40003.285714,-136.285714,-0.340686,
363.000000,39904.000000,40003.285714,-99.285714,-0.248194,
364.000000,39933.000000,40003.285714,-70.285714,-0.175700,
365.000000,39953.000000,40003.285714,-50.285714,-0.125704,
366.000000,39980.000000,40003.285714,-23.285714,-0.058210,
367.000000,39989.000000,40003.285714,-14.285714,-0.035711,
368.000000,39988.000000,40003.285714,-15.285714,-0.038211,
369.000000,40004.000000,40003.285714,0.714286,0.001786,
370.000000,40009.000000,40003.285714,5.714286,0.014285,
